date,avg_top_2,avg_bottom_2,daily_spread,spread_30d_ma
2024-07-22,179.14,19.895,159.24499999999998,128.749
2024-07-23,119.515,37.15,82.36500000000001,127.58050000000001
2024-07-24,125.36,-2.01,127.37,126.75233333333334
2024-07-25,143.66500000000002,15.315,128.35000000000002,126.60266666666666
2024-07-26,141.125,61.655,79.47,127.43149999999999
2024-07-27,122.46,17.86,104.6,125.97900000000001
2024-07-28,113.755,-44.3,158.055,126.506
2024-07-29,156.535,-1.3399999999999999,157.875,127.32783333333333
2024-07-30,162.39999999999998,-0.05,162.45,129.29033333333334
2024-07-31,126.17,14.445,111.725,129.066
2024-08-01,136.23,61.385000000000005,74.84499999999998,129.8725
2024-08-02,137.34,52.01,85.33000000000001,129.92416666666665
2024-08-03,130.64,5.255,125.38499999999999,130.11483333333334
2024-08-04,122.455,-1.1,123.55499999999999,129.66400000000002
2024-08-05,210.47,39.2,171.26999999999998,132.00383333333332
2024-08-06,202.715,3.87,198.845,133.596
2024-08-07,141.765,38.595,103.16999999999999,130.8345
2024-08-08,167.9,36.21,131.69,130.36766666666665
2024-08-09,121.50999999999999,-0.48000000000000004,121.99,130.751
2024-08-10,129.215,-40.43000000000001,169.645,132.091
2024-08-11,132.99,-55.025000000000006,188.01500000000001,136.38566666666668
2024-08-12,215.43,8.52,206.91,140.04666666666665
2024-08-13,204.035,41.69,162.345,139.2515
2024-08-14,190.165,73.78,116.38499999999999,135.97716666666668
2024-08-15,151.405,-0.015,151.42,136.71616666666668
2024-08-16,236.82,48.75,188.07,137.86599999999999
2024-08-17,144.87,39.495000000000005,105.375,135.66033333333334
2024-08-18,113.54,25.68,87.86000000000001,134.60933333333332
2024-08-19,201.91500000000002,79.385,122.53000000000002,134.47283333333334
2024-08-20,156.76,19.29,137.47,134.78699999999998
2024-08-21,135.655,-20.8,156.455,134.69400000000002
2024-08-22,121.255,-3.455,124.71,136.1055
2024-08-23,121.345,-15.935,137.28,136.43583333333333
2024-08-24,103.815,-42.135000000000005,145.95,137.0225
2024-08-25,114.725,-19.92,134.64499999999998,138.86166666666665
2024-08-26,210.685,20.310000000000002,190.375,141.72083333333333
2024-08-27,225.08499999999998,1.755,223.32999999999998,143.89666666666665
2024-08-28,202.97,9.285,193.685,145.09033333333335
2024-08-29,258.38,48.285,210.095,146.6785
2024-08-30,153.585,79.64,73.94500000000001,145.41916666666665
2024-08-31,137.535,-0.6950000000000001,138.23,147.53199999999998
2024-09-01,127.755,-21.97,149.725,149.67849999999999
2024-09-02,233.73000000000002,82.41,151.32000000000002,150.543
2024-09-03,588.345,83.41,504.93500000000006,163.25566666666666
2024-09-04,254.64999999999998,89.845,164.80499999999998,163.04016666666666
2024-09-05,116.32,-15.69,132.01,160.81233333333333
2024-09-06,132.745,13.504999999999999,119.24000000000001,161.348
2024-09-07,141.7,0.73,140.97,161.6573333333333
2024-09-08,126.135,0.025,126.11,161.79466666666667
2024-09-09,150.095,63.565,86.53,159.02416666666667
2024-09-10,122.42,-0.115,122.535,156.8415
2024-09-11,140.61,33.36,107.25000000000001,153.5195
2024-09-12,275.015,78.42500000000001,196.58999999999997,154.661
2024-09-13,126.1,52.81,73.28999999999999,153.22449999999998
2024-09-14,122.215,-0.265,122.48,152.25983333333332
2024-09-15,128.38,-0.33999999999999997,128.72,150.2815
2024-09-16,138.03,75.83500000000001,62.19499999999999,148.84216666666666
2024-09-17,135.73000000000002,33.705,102.02500000000002,149.31433333333334
2024-09-18,137.495,-0.045,137.54,149.81466666666665
2024-09-19,138.77,-0.075,138.845,149.86050000000003
2024-09-20,143.58499999999998,0.030000000000000002,143.55499999999998,149.4305
2024-09-21,134.745,-3.6550000000000002,138.4,149.88683333333336
2024-09-22,144.70499999999998,-0.035,144.73999999999998,150.13549999999998
2024-09-23,284.325,76.66,207.665,152.19266666666667
2024-09-24,134.68,46.83,87.85000000000001,150.63283333333337
2024-09-25,175.81,18.94,156.87,149.51600000000002
2024-09-26,87.1,-0.009999999999999998,87.11,144.97533333333334
2024-09-27,61.51,-5.9399999999999995,67.45,140.76749999999998
2024-09-28,98.195,0.0,98.195,137.0375
2024-09-29,159.95499999999998,-0.475,160.42999999999998,139.92033333333333
2024-09-30,91.985,1.065,90.92,138.34333333333333
2024-10-01,135.20499999999998,0.035,135.17,137.85816666666668
